id,name,album_id,album_name,artists,duration_ms,popularity
3pvNllGp0jKVnWo7XNz4U0,Crzy,4XoHw6vA2iF1pv8SuqpsGU,Crzy,"{'0dXCvd6lpLfZBKTFjUF1R3': 'Marius', '5LeUKbWRby5hGRHktQkXQV': 'Alexandra Rotan'}",189000,22
7eBjtPZlQEDmSJFL5tCkIc,Midnight Racer,39Xf184PU6ESRke6jtAk8n,Escapism III,{'07UJz804RJxqNvxFXC3h9H': 'Sam Gellaitry'},228174,34
2bCjaF7cRm53Wdq9RtkYJu,Neck And Neck - DNMO Remix,3W8TE3qqvhwhdGunef80Fe,Northern Lights (Remixes),"{'67qogtRNI0GjUr8PlaG6Zh': 'Zeds Dead', '4GLJPBj5Cdr9AgLKvLWM4n': 'Dragonette', '3cMInYqk6yzf37zo8iznoz': 'DNMO'}",182400,59
0UhyQ3rTGmSf64TwmKLu3i,I Love It When You Cry (Moxoki) - Boehm Remix,5NK5J3xNka3Zh4MsOioFWP,Ultra Summer 2 (The Best In Deep and Tropical House),"{'77AiFEVeAVj2ORpC85QVJs': 'Steve Aoki', '1dSRKlg9rzvs63rhT8Sbpp': 'Moxie Raia', '08p782h5VznNEQMM4wAEp9': 'Boehm'}",322500,35
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,0wfne2JijoxJm0qzJd3V5h,ARDIPITHECUS,{'3rWZHrfrsPBxVy692yAIxF': 'WILLOW'},196520,83
4JkJntZgFNvjkGg3sMRRsX,Better Off,1rndwOlmRoSuV0LK2Y6bhH,Better Off,{'3G9gR0x4v3J2Vek0Fw0yf2': 'Emily Vaughn'},224842,32
0j1BAvgZnO5LoRCsGtgYYG,Heavy,2P63KJNeC3DwaLpw8KHYqE,Ultralife,{'5cIc3SBFuBLVxJz58W2tU9': 'Oh Wonder'},191760,46
0PNPNtb6hAQ9nEyh1jVaRn,Gold Coat,1DYZmRfJOALk8MpQbWfyyx,Chinese Nü Yr,"{'7LCDnUQYE07fnKbo46SVLB': 'Iglooghost', '5mzIOU6Wu4mBabXE3OqhR5': 'Cuushe'}",260301,23
1E6gKZoptibxhKZmOMCyUm,Creep - VIRTU Edit,0SOICgsL3bDDa2pHtxTcWc,Creep (VIRTU Edit),{'0QehxnZckus8HjzxCMnPGY': 'VIRTU'},266086,31
605NW6cVRpKtfbNnLnwJuB,Bibimbap [Holly Remix],76rS7xSFQFawqxREafNq8B,Lune Rouge Remixed,"{'3VwKSHAfgzV1DOHV0aANCI': 'TOKiMONSTA', '65stAzefvkwLeulY8215Zo': 'Holly'}",307280,16
